description,category,spec_pred
POS DIEBOLD NIXDORF VynaPOS,Atms,
ค่าบริการเหมาตัดหญ้า,Snow Removal Services,
"Paper 946 Fresh Milk Beverage (VN),PAPER 946 FRESH MILK BEVERAGE (VN)",Other Beverages,
ระบบรีดนมโค DeLavaVoluntaryMilkingSystem,Milking Machines,
"PAPER 236 Fresh Milk Beverage/H (HK),PAPER 236 FRESH MILK BEVERAGE/H (HK)",Other Beverages,
(PL)(FMST328) Rep. Additional Plugin Cabinet for FM Y2025 (103 Store) : S#15003 POOL SUPERMARKET \REP_GF,Vehicle Maintenance And Repair Services,item -
"SC_UNIVERSAL TES+ BOARD V3 911S010017-1,SC2-UNIVERSAL TES+ BOARD V3 911S010017-1",Sensor Development Tools,
"WPC 80 (Heat Stable),WPC 80 (HEAT STABLE)",Tpu,
ระบบMicrobial Fermentation Sterilization,Lab Testing Consulting,
Automation Peeling Shrimp System,Fish Processing Machines,
"SB_9-32705014195 0 BELLOWS,32705014195 0 BELLOWS:",Guard Shield,
"Homogenizer Model: 250 for Past12,13, 	HOMOGENIZER MODEL: 250 FOR PAST12,13",Homogenizer,
"Homogenizer(GEA ARIERE 3110H),HOMOGENIZER(GEA ARIERE 3110H)",Homogenizer,
(TW) CS_CM/PM Consultant for New Store Hypermarket Maerim,Other Consulting,item -
POS DIEBOLD NIXDORF VynaPOS ;3035;0001;1,Atms,
10053 GN 1/1 ECO  46L - BLACK COLOR Outer : 600*400*320 mm.,Other Tableware,
ชั้นปิดหัว-ท้าย G5(I) 90X45X187cm.,Shelving Units,application -|brand -|item -|material -|model -|numberofshelf -|size -
(MP) ABSS_DC HARDWARE MA of Period 1 Jan 2025 - 31 Dec 2025 (QT.No.ABSS FM-ABSS-JS25-026 Rev.00),Information Technology Maintenance Or Repair Service,item 
